Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,City
2022,4,"1,975",0,"1,975",Boise
2022,5,"2,126",0,"2,126",Boise
2022,6,"2,266",0,"2,266",Boise
2022,7,"2,473",0,"2,473",Boise
2022,8,"2,475",0,"2,475",Boise
2022,9,"2,406",0,"2,406",Boise
2022,10,"2,264",0,"2,264",Boise
2022,11,"2,133",0,"2,133",Boise
2022,12,"1,997",0,"1,997",Boise
2022,TOTAL,"26,065",0,"26,065",Boise
2023,1,"2,003",0,"2,003",Boise
2023,2,"1,899",0,"1,899",Boise
2023,3,"2,052",0,"2,052",Boise
2023,4,"2,065",0,"2,065",Boise
2023,5,"2,161",0,"2,161",Boise
2023,6,"2,102",0,"2,102",Boise
2023,7,"2,189",0,"2,189",Boise
2023,TOTAL,"14,471",0,"14,471",Boise
2002,10,"4,128",0,"4,128",Santa Ana
2002,11,"3,826",0,"3,826",Santa Ana
2002,12,"3,985",0,"3,985",Santa Ana
2002,TOTAL,"43,860",4,"43,864",Santa Ana
2003,1,"4,015",0,"4,015",Santa Ana
2003,2,"3,579",0,"3,579",Santa Ana
2003,3,"3,943",0,"3,943",Santa Ana
2003,4,"3,902",0,"3,902",Santa Ana
2003,5,"4,086",0,"4,086",Santa Ana
2003,6,"4,038",0,"4,038",Santa Ana
2003,7,"4,191",0,"4,191",Santa Ana
2003,8,"4,265",0,"4,265",Santa Ana
2003,9,"4,197",0,"4,197",Santa Ana
2003,10,"4,387",0,"4,387",Santa Ana
2003,11,"4,174",0,"4,174",Santa Ana
2003,12,"4,325",1,"4,326",Santa Ana
2003,TOTAL,"49,102",1,"49,103",Santa Ana
2004,1,"4,360",0,"4,360",Santa Ana
2004,2,"4,073",0,"4,073",Santa Ana
2004,3,"4,467",0,"4,467",Santa Ana
2004,4,"4,334",0,"4,334",Santa Ana
2004,5,"4,409",0,"4,409",Santa Ana
2004,6,"4,334",0,"4,334",Santa Ana
2004,7,"4,447",0,"4,447",Santa Ana
2004,8,"4,516",0,"4,516",Santa Ana
2004,9,"4,291",0,"4,291",Santa Ana
2004,10,"4,393",0,"4,393",Santa Ana
2004,11,"4,225",0,"4,225",Santa Ana
2004,12,"4,366",0,"4,366",Santa Ana
2004,TOTAL,"52,215",0,"52,215",Santa Ana
2005,1,"4,254",0,"4,254",Santa Ana
2005,2,"3,852",0,"3,852",Santa Ana
2005,3,"4,308",0,"4,308",Santa Ana
2005,4,"4,193",0,"4,193",Santa Ana
2005,5,"4,288",0,"4,288",Santa Ana
2005,6,"4,252",0,"4,252",Santa Ana
2005,7,"4,394",0,"4,394",Santa Ana
2005,8,"4,439",0,"4,439",Santa Ana
2005,9,"4,172",0,"4,172",Santa Ana
2005,10,"4,305",0,"4,305",Santa Ana
2005,11,"4,189",0,"4,189",Santa Ana
2005,12,"4,234",0,"4,234",Santa Ana
2005,TOTAL,"50,880",0,"50,880",Santa Ana
2006,1,"4,217",0,"4,217",Santa Ana
2006,2,"3,851",0,"3,851",Santa Ana
2006,3,"4,340",0,"4,340",Santa Ana
2006,4,"4,208",0,"4,208",Santa Ana
2006,5,"4,426",0,"4,426",Santa Ana
2006,6,"4,353",0,"4,353",Santa Ana
2006,7,"4,432",0,"4,432",Santa Ana
2006,8,"4,558",0,"4,558",Santa Ana
2006,9,"4,237",0,"4,237",Santa Ana
2006,10,"4,385",0,"4,385",Santa Ana
2006,11,"4,164",0,"4,164",Santa Ana
2006,12,"4,283",0,"4,283",Santa Ana
2006,TOTAL,"51,454",0,"51,454",Santa Ana
2007,1,"4,337",0,"4,337",Santa Ana
2007,2,"3,911",0,"3,911",Santa Ana
2007,3,"4,423",0,"4,423",Santa Ana
2007,4,"4,372",0,"4,372",Santa Ana
2007,5,"4,518",0,"4,518",Santa Ana
2007,6,"4,329",0,"4,329",Santa Ana
2007,7,"4,472",0,"4,472",Santa Ana
2007,8,"4,517",0,"4,517",Santa Ana
2007,9,"4,245",0,"4,245",Santa Ana
2007,10,"4,444",0,"4,444",Santa Ana
2007,11,"4,227",0,"4,227",Santa Ana
2007,12,"4,297",0,"4,297",Santa Ana
2007,TOTAL,"52,092",0,"52,092",Santa Ana
2008,1,"4,158",0,"4,158",Santa Ana
2008,2,"3,902",0,"3,902",Santa Ana
2008,3,"4,189",0,"4,189",Santa Ana
2008,4,"3,950",0,"3,950",Santa Ana
2008,5,"3,937",0,"3,937",Santa Ana
2008,6,"3,885",0,"3,885",Santa Ana
2008,7,"3,981",0,"3,981",Santa Ana
2008,8,"3,951",0,"3,951",Santa Ana
2008,9,"3,721",0,"3,721",Santa Ana
2008,10,"3,855",0,"3,855",Santa Ana
2008,11,"3,589",0,"3,589",Santa Ana
2008,12,"3,698",0,"3,698",Santa Ana
2008,TOTAL,"46,816",0,"46,816",Santa Ana
2009,1,"3,705",0,"3,705",Santa Ana
2009,2,"3,409",0,"3,409",Santa Ana
2009,3,"3,852",0,"3,852",Santa Ana
2009,4,"3,745",0,"3,745",Santa Ana
2009,5,"4,093",0,"4,093",Santa Ana
2009,6,"4,107",0,"4,107",Santa Ana
2009,7,"4,236",0,"4,236",Santa Ana
2009,8,"4,167",0,"4,167",Santa Ana
2009,9,"3,841",0,"3,841",Santa Ana
2009,10,"3,956",0,"3,956",Santa Ana
2009,11,"3,708",0,"3,708",Santa Ana
2009,12,"3,706",0,"3,706",Santa Ana
2009,TOTAL,"46,525",0,"46,525",Santa Ana
2010,1,"3,551",0,"3,551",Santa Ana
2010,2,"3,210",0,"3,210",Santa Ana
