"Passengers (All U.S. Carriers - Philadelphia, PA: Philadelphia International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2022,11,"8,99,126","84,116","9,83,242"
2022,12,"8,76,885","1,06,881","9,83,766"
2022,TOTAL,"1,08,72,227","12,20,791","1,20,93,018"
2023,1,"7,96,717","87,473","8,84,190"
2023,2,"7,60,997","84,812","8,45,809"
2023,3,"9,48,031","1,20,104","10,68,135"
2023,4,"9,54,348","1,26,760","10,81,108"
2023,5,"9,83,518","1,29,289","11,12,807"
2023,6,"10,88,304","1,54,287","12,42,591"
2023,7,"11,33,394","1,40,243","12,73,637"
2023,TOTAL,"66,65,309","8,42,968","75,08,277"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
